Geo Point;id_ref_zdl;codeunique;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.8662858046,2.32294341224;45676;101061.0;CONCORDE;Concorde;A01534 / A01541 / A01545;C01371 / C01378 / C01382;M1 / M8 / M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650331.6676;6863130.2462
48.8720238095,2.30056045125;43283;101067.0;GEORGE V;George V;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648695.3653;6863782.5778
48.8755940499,2.28932258961;42213;101071.0;ARGENTINE;Argentine;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;647874.6513;6864186.9211
48.8811915206,2.27168672105;43785;101075.0;LES SABLONS (JARDIN D'ACCLIMATATION);Les Sablons;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;646586.9079;6864821.1041
48.8886312178,2.24793243532;42962;101079.0;ESPLANADE DE LA DEFENSE;Esplanade de la Défense;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;644852.7454;6865664.6753
48.8690911629,2.38054258599;42772;102045.0;COURONNES;Couronnes;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654559.4536;6863407.4921
48.8776101874,2.37081139531;42732;102049.0;COLONEL FABIEN;Colonel Fabien;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653853.1813;6864360.3934
48.8843987952,2.36049131853;43524;102055.0;LA CHAPELLE;La Chapelle;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653102.402;6865121.3253
48.8930946286,2.48791098763;44603;1403.0;LA REMISE A JORELLE;La Remise à Jorelle;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;662452.6934;6866020.1281
48.8215175225,2.25133615621;43765;320.0;LES MOULINEAUX;Les Moulineaux;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;645031.5696;6858199.9405
48.9069318321,2.43862449586;43805;1018.0;LIBERATION;Libération;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;658849.9146;6867583.3418
